date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:01	26323/26323	---MCZ	200	added ('OK')	text/html	etag:W/%22cb9f1a48a51f01b78e5aad540aed4691%22	https://expertsgroups.org/	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/index.html	(from )
21:44:01	345/345	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Nov%202024%2016:14:01%20GMT	https://expertsgroups.org/robots.txt		(from )
21:44:01	63893/63893	---M--	200	added ('OK')	image/jpeg	etag:%224a7b4798ef872e87a13f323a3f233a7b%22	https://expertsgroups.org/assets/images/logo.jpeg	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/assets/images/logo.jpg	(from https://expertsgroups.org/)
21:44:01	160308/160308	---MCZ	200	added ('OK')	text/css	etag:W/%22354427046824973d20e1fc26926bc87e%22	https://expertsgroups.org/vendor/bootstrap/css/bootstrap.min.css	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/vendor/bootstrap/css/bootstrap.min.css	(from https://expertsgroups.org/)
21:44:01	23742/23742	---MCZ	200	added ('OK')	text/css	etag:W/%22f667e6132f8470a39d2395b81ab4ef09%22	https://expertsgroups.org/assets/css/fontawesome.css	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/assets/css/fontawesome.css	(from https://expertsgroups.org/)
21:44:01	32081/32081	---MCZ	200	added ('OK')	text/css	etag:W/%22f4afa688c177d677404768d077799476%22	https://expertsgroups.org/assets/css/templatemo-grad-school.css	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/assets/css/templatemo-grad-school.css	(from https://expertsgroups.org/)
21:44:02	4928/4928	---MCZ	200	added ('OK')	text/css	etag:W/%22ab8d33d83f5dafcaa8d387dc9f6f034a%22	https://expertsgroups.org/assets/css/owl.css	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/assets/css/owl.css	(from https://expertsgroups.org/)
21:44:02	3828/3828	---MCZ	200	added ('OK')	text/css	etag:W/%2251419fb3861fbbf97e5189a61249a2fb%22	https://expertsgroups.org/assets/css/lightbox.css	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/assets/css/lightbox.css	(from https://expertsgroups.org/)
21:44:02	26323/26323	---MCZ	200	added ('OK')	text/html	etag:W/%22cb9f1a48a51f01b78e5aad540aed4691%22	https://expertsgroups.org/index.html	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/index-2.html	(from https://expertsgroups.org/)
21:44:02	13597/13597	---MCZ	200	added ('OK')	text/html	etag:W/%22ae5e49f42674f5a0cd7c0aee92c2dab9%22	https://expertsgroups.org/team.html	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/team.html	(from https://expertsgroups.org/)
21:44:03	17483/17483	---MCZ	200	added ('OK')	text/html	etag:W/%220dbee12004dd0f697f979e6350f6c5d1%22	https://expertsgroups.org/gallery.html	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/gallery.html	(from https://expertsgroups.org/)
21:44:03	16452/16452	---MCZ	200	added ('OK')	text/html	etag:W/%22a9c7554b369f526535b905bfb32afd60%22	https://expertsgroups.org/ct-mris.html	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/ct-mris.html	(from https://expertsgroups.org/)
21:44:03	16805/16805	---MCZ	200	added ('OK')	text/html	etag:W/%22a529ad7f7b177a50afde7bea375c5d12%22	https://expertsgroups.org/eet.html	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/eet.html	(from https://expertsgroups.org/)
21:44:04	12585/12585	---MCZ	200	added ('OK')	text/html	etag:W/%22439cc04fa184815f68f1ef6fb0c9685a%22	https://expertsgroups.org/ea.html	D:/WEBSITE%20FILES/EXPERTS%20GROUPS/EXPERTS%20GROUPS/expertsgroups.org/ea.html	(from https://expertsgroups.org/)
